Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2018-07-07 10:39:07;"Trening 2";"Bent Over Row (Barbell)";4;35;kg;8;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Pull Up";1;0;kg;10;;;;0;"";;1h 14m
2018-07-07 10:39:07;"Trening 2";"Pull Up";2;0;kg;7;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Pull Up";3;0;kg;5;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Pull Up";4;0;kg;4;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Bench Press (Dumbbell)";1;17,5;kg;10;;;;0;"";;1h 14m
2018-07-07 10:39:07;"Trening 2";"Bench Press (Dumbbell)";2;17,5;kg;10;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Bench Press (Dumbbell)";3;17,5;kg;10;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Bicep Curl (Dumbbell)";1;10;kg;11;;;;0;"";;1h 14m
2018-07-07 10:39:07;"Trening 2";"Bicep Curl (Dumbbell)";2;10;kg;9;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Bicep Curl (Dumbbell)";3;10;kg;6;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Plank";1;;;;;;km;65;"";;1h 14m
2018-07-07 10:39:07;"Trening 2";"Plank";2;;;;;;km;65;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Plank";3;;;;;;km;70;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Cable Crunch";1;40;kg;12;;;;0;"";;1h 14m
2018-07-07 10:39:07;"Trening 2";"Cable Crunch";2;40;kg;12;;;;0;;;1h 14m
2018-07-07 10:39:07;"Trening 2";"Cable Crunch";3;40;kg;12;;;;0;;;1h 14m
2018-07-10 10:24:20;"Trening 1";"Bench Press (Barbell)";1;70;kg;5;;;;0;"poszlo 70 ";"";1h 18m
2018-07-10 10:24:20;"Trening 1";"Bench Press (Barbell)";2;65;kg;6;;;;0;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Bench Press (Barbell)";3;60;kg;8;;;;0;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Bench Press (Barbell)";4;55;kg;8;;;;0;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Overhead Press (Barbell)";1;45;kg;5;;;;0;"";;1h 18m
2018-07-10 10:24:20;"Trening 1";"Overhead Press (Barbell)";2;40;kg;6;;;;0;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Overhead Press (Barbell)";3;35;kg;8;;;;0;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Overhead Press (Barbell)";4;30;kg;8;;;;0;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Squat (Barbell)";1;35;kg;5;;;;0;"";;1h 18m
2018-07-10 10:24:20;"Trening 1";"Squat (Barbell)";2;32,5;kg;6;;;;0;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Squat (Barbell)";3;30;kg;8;;;;0;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Squat (Barbell)";4;30;kg;8;;;;0;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Front Raise (Dumbbell)";1;7,5;kg;12;;;;0;"";;1h 18m
2018-07-10 10:24:20;"Trening 1";"Front Raise (Dumbbell)";2;7,5;kg;12;;;;0;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Triceps Dip";1;0;kg;13;;;;0;"";;1h 18m
2018-07-10 10:24:20;"Trening 1";"Triceps Dip";2;0;kg;13;;;;0;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Triceps Dip";3;0;kg;14;;;;0;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Plank";1;;;;;;km;65;"";;1h 18m
2018-07-10 10:24:20;"Trening 1";"Plank";2;;;;;;km;65;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Plank";3;;;;;;km;65;;;1h 18m
2018-07-10 10:24:20;"Trening 1";"Hanging Knee Raise";1;;;13;;;;0;"";;1h 18m
2018-07-10 10:24:20;"Trening 1";"Hanging Knee Raise";2;;;13;;;;0;;;1h 18m
